0,interests=95,dataPkts=1916,reinf=0,task-Sleep,0,task-Diffuse,0,totalTracks=1744,lastTrackTime10741.710802156691
1,interests=162,dataPkts=614,reinf=81,task-Sleep,1244,task-Diffuse,1155
2,interests=162,dataPkts=636,reinf=92,task-Sleep,1301,task-Diffuse,1098
3,interests=210,dataPkts=937,reinf=188,task-Sleep,980,task-Diffuse,1419
4,interests=210,dataPkts=963,reinf=168,task-Sleep,926,task-Diffuse,1473
5,interests=135,dataPkts=129,reinf=69,task-10-0,1004,task-Sleep,956,task-Diffuse,439
6,interests=134,dataPkts=412,reinf=45,task-Sleep,1381,task-Diffuse,1018
7,interests=20,dataPkts=182,reinf=17,task-10-0,184,task-Sleep,1753,task-Diffuse,462
8,interests=152,dataPkts=156,reinf=62,task-10-0,896,task-Sleep,1037,task-Diffuse,466
9,interests=210,dataPkts=867,reinf=153,task-Sleep,939,task-Diffuse,1460
10,interests=162,dataPkts=978,reinf=135,task-Sleep,986,task-Diffuse,1413
11,interests=162,dataPkts=670,reinf=80,task-Sleep,1204,task-Diffuse,1195
12,interests=103,dataPkts=147,reinf=142,task-10-0,1553,task-Sleep,737,task-Diffuse,109
13,interests=210,dataPkts=1150,reinf=268,task-Sleep,859,task-Diffuse,1540
